$GPGGA,125504.49,5542.2389,N,03741.6063,W,0.06,25.82,200906,,,*17
$GPGGA,082851.80,5600.5547,N,15013.2407,W,1,05,2.0,237.736,M,,,,*34
$GPGGA,082851.80,2424.4248,S,12356.4569,W,1,05,2.0,237.736,M,,,,*34
$GPGGA,082851.80,0.5547,N,013.9712,E,1,05,2.0,237.736,M,,,,*34
$GPGGA,082851.80,2400.5547,S,9013.8546,E,1,05,2.0,237.736,M,,,,*34
$GPGGA,125504.49,5542.2389,N,03741.6063,W,0.06,25.82,200906,,,*17
$GPGGA,082851.80,5600.5547,N,15013.2407,W,1,05,2.0,237.736,M,,,,*34
$GPGGA,082851.80,2424.4248,S,12356.4569,W,1,05,2.0,237.736,M,,,,*34
$GPGGA,082851.80,0.5547,N,013.9712,E,1,05,2.0,237.736,M,,,,*34
$GPGGA,082851.80,2400.5547,S,9013.8546,E,1,05,2.0,237.736,M,,,,*34
$GPGGA,082851.80,5723.1052,N,10147.2918,E,1,05,2.0,237.736,M,,,,*34
